x,y,ux,uy
   8.50000e-01,   7.50000e-01,  -3.12092e-03,   1.85040e-02
   9.00000e-01,   7.50000e-01,  -3.55825e-03,   1.85336e-02
   9.50000e-01,   7.50000e-01,  -3.99297e-03,   1.85578e-02
   1.00000e+00,   7.50000e-01,  -4.42562e-03,   1.85732e-02
   0.00000e+00,   8.00000e-01,   4.43458e-03,   1.98096e-02
   5.00000e-02,   8.00000e-01,   4.00030e-03,   1.97990e-02
   1.00000e-01,   8.00000e-01,   3.56427e-03,   1.97806e-02
   1.50000e-01,   8.00000e-01,   3.12594e-03,   1.97571e-02
   2.00000e-01,   8.00000e-01,   2.68510e-03,   1.97314e-02
   2.50000e-01,   8.00000e-01,   2.24178e-03,   1.97055e-02
   3.00000e-01,   8.00000e-01,   1.79624e-03,   1.96817e-02
   3.50000e-01,   8.00000e-01,   1.34884e-03,   1.96615e-02
   4.00000e-01,   8.00000e-01,   9.00027e-04,   1.96462e-02
   4.50000e-01,   8.00000e-01,   4.50253e-04,   1.96366e-02
   5.00000e-01,   8.00000e-01,  -5.78300e-16,   1.96334e-02
   5.50000e-01,   8.00000e-01,  -4.50253e-04,   1.96366e-02
   6.00000e-01,   8.00000e-01,  -9.00027e-04,   1.96462e-02
   6.50000e-01,   8.00000e-01,  -1.34884e-03,   1.96615e-02
   7.00000e-01,   8.00000e-01,  -1.79624e-03,   1.96817e-02
   7.50000e-01,   8.00000e-01,  -2.24178e-03,   1.97055e-02
   8.00000e-01,   8.00000e-01,  -2.68510e-03,   1.97314e-02
   8.50000e-01,   8.00000e-01,  -3.12594e-03,   1.97571e-02
   9.00000e-01,   8.00000e-01,  -3.56427e-03,   1.97806e-02
   9.50000e-01,   8.00000e-01,  -4.00030e-03,   1.97990e-02
   1.00000e+00,   8.00000e-01,  -4.43458e-03,   1.98096e-02
   0.00000e+00,   8.50000e-01,   4.43958e-03,   2.10508e-02
   5.00000e-02,   8.50000e-01,   4.00389e-03,   2.10437e-02
   1.00000e-01,   8.50000e-01,   3.56677e-03,   2.10299e-02
   1.50000e-01,   8.50000e-01,   3.12765e-03,   2.10116e-02
   2.00000e-01,   8.50000e-01,   2.68626e-03,   2.09910e-02
   2.50000e-01,   8.50000e-01,   2.24260e-03,   2.09700e-02
   3.00000e-01,   8.50000e-01,   1.79683e-03,   2.09504e-02
   3.50000e-01,   8.50000e-01,   1.34928e-03,   2.09337e-02
   4.00000e-01,   8.50000e-01,   9.00317e-04,   2.09209e-02
   4.50000e-01,   8.50000e-01,   4.50400e-04,   2.09129e-02
   5.00000e-01,   8.50000e-01,  -6.23771e-16,   2.09102e-02
   5.50000e-01,   8.50000e-01,  -4.50400e-04,   2.09129e-02
   6.00000e-01,   8.50000e-01,  -9.00317e-04,   2.09209e-02
   6.50000e-01,   8.50000e-01,  -1.34928e-03,   2.09337e-02
   7.00000e-01,   8.50000e-01,  -1.79683e-03,   2.09504e-02
   7.50000e-01,   8.50000e-01,  -2.24260e-03,   2.09700e-02
   8.00000e-01,   8.50000e-01,  -2.68626e-03,   2.09910e-02
   8.50000e-01,   8.50000e-01,  -3.12765e-03,   2.10116e-02
   9.00000e-01,   8.50000e-01,  -3.56677e-03,   2.10299e-02
   9.50000e-01,   8.50000e-01,  -4.00389e-03,   2.10437e-02
   1.00000e+00,   8.50000e-01,  -4.43958e-03,   2.10508e-02
   0.00000e+00,   9.00000e-01,   4.44176e-03,   2.22959e-02
   5.00000e-02,   9.00000e-01,   4.00490e-03,   2.22916e-02
   1.00000e-01,   9.00000e-01,   3.56686e-03,   2.22814e-02
